time,url,dcl,load,fcp,lcp,cls,fid
1647272322.866,http://localhost:3001/,673.2000000476837,1533,670,1014.2,0.06315097112443759,0
1647272339.76,http://localhost:3001/,685.6000000238419,1548.6000000238419,684.7000000476837,1019.399,0.27533785157664137,0.8000000715255737
1647272418.91,http://localhost:3001/,731.3000000715256,1495.8999999761581,704.6000000238419,963.5,0.20022406233147919,0
1647272423.633,http://localhost:3001/,669.6000000238419,1507.3999999761581,668.6000000238419,1021.799,0.33486863610868295,0
1647272433.95,http://localhost:3001/,667.5,1528.5,664.5,959.5,0.33486366844531046,0
1647272452.092,http://localhost:3001/,656.5,1504,655.5,962.5,0.3345046719722613,0
1647272475.254,http://localhost:3001/,679.5999999046326,0,676.5999999046326,1041.099,0.3348636684453105,0
1647272478.985,http://localhost:3001/,677.0999999046326,1523.8999999761581,673.8999999761581,986.399,0.3348686361086829,0
1647351993.726,http://localhost:3000/,769.9000000953674,1547.6000001430511,742.1000001430511,1092.2,0.15717130293066778,0
1647352002.017,http://localhost:3000/,261.2999999523163,912.7000000476837,257.7000000476837,524.4,0.15425727453842053,0.7999999523162842
1647352027.782,http://localhost:3000/,250.29999995231628,1079.9000000953674,249.09999990463257,602.599,0.3207799998860749,0
1647352039.061,http://localhost:3000/,233.09999990463257,1185.5,231.90000009536743,484.2,0.20150083068481012,0
1647353203.197,http://localhost:3000/,259.2999999523163,1104.3999998569489,255.70000004768372,582.299,0.19420547333198981,0
1647353216.544,http://localhost:3000/,340.7999999523163,1119.8999998569489,261.59999990463257,374.399,0.22339730709349764,0.7000000476837158
1647353448.561,http://localhost:3000/,328.2000000476837,1069.5,251.59999990463257,361.9,0.22756686573003443,0.7000000476837158
1647353456.971,http://localhost:3000/,324.5,1029.8999998569489,244.39999985694885,764.699,0.15329290698129555,1
1647353474.603,http://localhost:3000/,314.7000000476837,1079.5,236.10000014305115,349.4,0.22268392677773208,0.9000000953674316
1647354327.688,http://localhost:3000/,332.5,1171.7999999523163,254,354.7,0.2244079599371434,1.0999999046325684
1647354331.085,http://localhost:3000/,306.2000000476837,915.7000000476837,261.2000000476837,520.099,0.04867129486094245,0.5
1647354350.457,http://localhost:3000/,302.7000000476837,829.5999999046326,238.29999995231628,350.4,0.23186164825519678,1
1647354431.619,http://localhost:3000/,325.2999999523163,874,252,363.2,0.23036891942560644,1
1647354469.264,http://localhost:3000/,311.19999980926514,891.8999998569489,310.19999980926514,310.299,1.6188585300327312,0
1647354524.524,http://localhost:3000/,306.7000000476837,910,305.2999999523163,584.9,1.2946572003007903,0
1647354528.324,http://localhost:3000/,316.7999999523163,967.0999999046326,315.5,801.5,1.4730720316832389,0
1647354553.086,http://localhost:3000/,293.2999999523163,1271.6000001430511,291.90000009536743,292,2.0480986496796545,1.3999998569488525
1647354562.295,http://localhost:3000/,292.09999990463257,1364.0999999046326,289.7000000476837,289.799,0.22111957470702637,0
1647354599.933,http://localhost:3000/,348.7000000476837,0,345.5,345.5,0.01658888455762687,0
